ID,반,메타인지,인지욕구,모호함인내,AI경험,AI질문역량_사전,AI질문역량_사후,향상도,향상률
P041,3반,59,63,18,9,9.2,11.7,2.5,27.2
P042,3반,62,53,24,16,13.7,15.9,2.200000000000001,16.1
P043,3반,89,38,33,5,10.8,16.1,5.300000000000001,49.1
P044,3반,36,76,36,15,11.9,11.4,-0.5,-4.2
P045,3반,78,57,36,15,8.3,13.2,4.899999999999999,59.0
P046,4반,93,74,21,17,10.5,13.7,3.1999999999999993,30.5
P047,4반,42,78,38,13,9.8,10.2,0.3999999999999986,4.1
P048,4반,63,35,39,15,8.4,9.6,1.1999999999999993,14.3
P049,4반,65,67,44,11,7.4,10.0,2.5999999999999996,35.1
P050,4반,56,48,33,11,8.7,13.1,4.4,50.6
P051,4반,50,61,47,19,12.9,14.1,1.1999999999999993,9.3
P052,4반,40,68,18,12,9.5,14.0,4.5,47.4
P053,4반,20,44,51,16,9.6,9.8,0.20000000000000107,2.1
P054,4반,71,39,46,20,12.1,17.0,4.9,40.5
P055,4반,20,57,39,23,8.9,9.8,0.9000000000000004,10.1
P056,4반,70,51,41,22,12.6,18.6,6.000000000000002,47.6
P057,4반,78,48,47,12,10.8,15.0,4.199999999999999,38.9
P058,4반,39,63,46,7,10.4,12.0,1.5999999999999996,15.4
P059,4반,71,54,23,13,8.3,13.9,5.6,67.5
P060,4반,74,65,49,12,11.3,14.7,3.3999999999999986,30.1
P061,5반,74,68,38,14,11.6,12.9,1.3000000000000007,11.2
P062,5반,51,45,49,13,8.6,10.2,1.5999999999999996,18.6
P063,5반,67,47,40,14,8.5,8.9,0.40000000000000036,4.7
P064,5반,64,62,24,5,6.9,7.6,0.6999999999999993,10.1
P065,5반,43,61,22,16,9.7,13.3,3.6000000000000014,37.1
P066,5반,49,60,41,24,10.8,13.5,2.6999999999999993,25.0
P067,5반,72,83,49,24,13.8,15.9,2.0999999999999996,15.2
P068,5반,49,84,18,18,10.9,14.3,3.4000000000000004,31.2
P069,5반,69,27,31,18,12.3,13.4,1.0999999999999996,8.9
P070,5반,61,57,48,11,10.8,13.8,3.0,27.8
P071,5반,55,53,31,12,10.7,13.5,2.8000000000000007,26.2
P072,5반,62,39,57,25,11.5,15.3,3.8000000000000007,33.0
P073,5반,66,28,43,16,9.9,8.9,-1.0,-10.1
P074,5반,61,18,50,21,9.0,11.7,2.6999999999999993,30.0
P075,5반,63,51,27,15,10.6,15.4,4.800000000000001,45.3
P076,6반,73,48,57,18,11.3,16.2,4.899999999999999,43.4
P077,6반,56,60,45,19,9.1,12.9,3.8000000000000007,41.8
P078,6반,64,50,40,18,10.6,13.2,2.5999999999999996,24.5
P079,6반,56,69,45,9,8.7,11.2,2.5,28.7
P080,6반,68,76,39,13,11.3,11.2,-0.10000000000000142,-0.9
P081,6반,57,43,53,25,12.4,13.3,0.9000000000000004,7.3
P082,6반,74,46,35,15,11.3,13.5,2.1999999999999993,19.5
P083,6반,82,79,33,21,9.9,11.2,1.299999999999999,13.1
P084,6반,32,40,34,14,6.1,5.1,-1.0,-16.4
P085,6반,88,86,39,9,8.2,10.9,2.700000000000001,32.9
P086,6반,83,90,37,11,11.3,12.5,1.1999999999999993,10.6
P087,6반,44,49,14,7,7.9,9.6,1.6999999999999993,21.5
P088,6반,100,57,49,5,8.7,9.9,1.200000000000001,13.8
P089,6반,64,62,25,13,8.9,12.1,3.1999999999999993,36.0
P090,6반,70,33,30,11,6.5,7.8,1.2999999999999998,20.0
